"STATION","NAME","DATE","TMAX","TMIN"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-01","79","60"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-02","79","60"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-03","73",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-04","76","54"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-05","77","55"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-06","77",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-07","77","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-08","75","55"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-09","76",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-10","75","50"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-11","74","53"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-12","74","55"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-13","74","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-14","72",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-15","72","55"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-16","74",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-17","81","51"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-18",,"59"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-19","78",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-20","80",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-21","77","56"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-22",,
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-23",,"55"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-24","76","58"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-25","74",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-26","76","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-27","76","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-28","81","53"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-29","85","58"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-30",,"60"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-01-31",,"61"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-02-01",,"57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-02-02","74","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-02-03","77","57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-02-04","79",
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-02-05",,"57"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-02-06","85","64"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-02-07","81","64"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-02-08",,"64"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-02-09",,"65"
"AEM00041217","ABU DHABI INTERNATIONAL, AE","2021-02-10",,"64"
"AEM00041218","AL AIN INTERNATIONAL, AE","2021-01-01","77","60"
